+,Result #,X,Date Published,Title,Inventor,8,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
,222,,2022-03-17,SYSTEM AND METHOD TO MEASURE AND MONITOR NEURODEGENERATION,"EPELBAUM; Stephane et al.",,"ICM (INSTITUT DU CERVEAU ET DE LA MOELLE ÉPINIÈRE),INSERM (INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE),CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,APHP (ASSISTANCE PUBLIQUE - HÔPITAUX DE PARIS),SORBONNE UNIVERSITÉ",17/299898,2019-12-20,,,1/1,,"ICM (INSTITUT DU CERVEAU ET DE LA MOELLE ÉPINIÈRE),INSERM (INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE),CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,APHP (ASSISTANCE PUBLIQUE - HÔPITAUX DE PARIS),SORBONNE UNIVERSITÉ",,,33.0968,
,223,,2025-03-20,System and Methods for Multi-Modal Data Authentication Using Neuro-Symbolic AI,"Malik; Khalid Mahmood et al.",,Smiles Technologies LLC,18/959572,2024-11-25,,,1/1,,Smiles Technologies LLC,,,56.253983,
,224,,2025-06-05,System and Methods for Multi-Modal Data Authentication Using Neuro-Symbolic AI,"Malik; Khalid Mahmood et al.",,"PROBETRUTH, INC.",19/050072,2025-02-10,,,1/1,,"PROBETRUTH, INC.",,,54.81372,
,225,,2010-06-01,System for comparing real-time data and modeling engine data to predict arc flash events,"Nasle; Adib et al.",,EDSA Micro Corporation,11/771681,2007-06-29,"Masinick; Michael D",,700/286,"700/292;324/601;324/600;703/18;700/293;702/85;323/212;706/14;703/2",,,,25.933567,
1,226,,2022-02-10,SYSTEM FOR ESTIMATING BRAIN INJURY,"Mahon; Bradford et al.",,,17/395247,2021-08-05,,,1/1,,Carnegie Mellon University,,,31.770348,
5,227,,2017-03-02,SYSTEM FOR MOVEMENT SKILL ANALYSIS AND SKILL AUGMENTATION AND CUEING,"METTLER MAY; Berenice",,,15/247622,2016-08-25,,,1/1,,"ICUEMOTION, LLC",,,51.49945,
1,228,,2010-04-06,Systems and methods for alarm filtering and management within a real-time data acquisition and monitoring environment,"Nasle; Adib",,EDSA Micro Corporation,11/780764,2007-07-20,"Masinick; Michael D",,700/286,"702/85;703/18;323/212;706/14;700/293;703/2;700/292",,,,28.804522,
,229,,2024-02-22,SYSTEMS AND METHODS FOR ASSESSING EMISSIONS CALIBRATION PROJECTS WITH HYBRID ARTIFICIAL INTELLIGENCE BASED SUPPORT,"Oltramari; Alessandro et al.",,,17/890196,2022-08-17,,,1/1,,Robert Bosch GmbH,,,30.856047,
,230,,2025-01-14,Systems and methods for collaborative filtering with variational autoencoders,"Macready; William G. et al.",,D-WAVE SYSTEMS INC.,18/096198,2023-01-12,"Doan; Nghia M",,1/1,,D-WAVE SYSTEMS INC.,,,40.084038,
,231,,2024-02-20,Systems and methods for contextualized interactions with an environment,"Muhammad; Faizan et al.",,"Meta Platforms Technologies, LLC",17/094712,2020-11-10,"Elbinger; Steven Z",,1/1,,"META PLATFORMS TECHNOLOGIES, LLC",,,28.72047,
31,232,,2019-10-24,SYSTEMS AND METHODS FOR DATA COLLECTION INCLUDING PATTERN RECOGNITION,"Cella; Charles Howard et al.",,,16/458141,2019-06-30,,,1/1,,"Strong Force IoT Portfolio 2016, LLC",,,70.601395,
,233,,2019-01-10,SYSTEMS AND METHODS FOR DATA-DRIVEN MOVEMENT SKILL TRAINING,"Mettler May; Bérénice",,,16/029322,2018-07-06,,,1/1,,iCueMotion LLC,,,49.46328,
,234,,2024-03-28,SYSTEMS AND METHODS FOR EMBODIED MULTIMODAL ARTIFICIAL INTELLIGENCE QUESTION ANSWERING AND DIALOGUE WITH COMMONSENSE KNOWLEDGE,"Francis; Jonathan et al.",,,17/953448,2022-09-27,,,1/1,,Robert Bosch GmbH,,,30.389984,
4,235,,2020-12-24,SYSTEMS AND METHODS FOR EVALUATING QUERY PERTURBATIONS,"Victors; Mason et al.",,"Recursion Pharmaceuticals, Inc.",16/905162,2020-06-18,,,1/1,,"Recursion Pharmaceuticals, Inc.",,,36.045135,
,236,,2015-07-28,Systems and methods for intuitive modeling of complex networks in a digital environment,"Nasle; Adib",,Power Analytics Corporation,12/237948,2008-09-25,"Shah; Kamini S","Louis; Andre Pierre",1/1,,"Nasle; Adib",,,26.325602,
,237,,2020-12-15,Systems and methods for real-time DC microgrid power analytics for mission-critical power systems,"Meagher; Kevin et al.",,"Wavetech Global, Inc.",15/998739,2018-08-16,"Kim; Eunhee",,1/1,,WaveTech Global Inc.,,,26.530575,
,238,,2023-10-12,"SYSTEMS AND METHODS FOR TECHNIQUES TO PROCESS, ANALYZE AND MODEL INTERACTIVE VERBAL DATA FOR MULTIPLE INDIVIDUALS","Lin; Baihan",,,18/130947,2023-04-05,,,1/1,,The Trustees of Columbia University in the City of New York,,,66.360214,
1,239,,2018-08-09,"SYSTEMS, DEVICES, AND METHODS FOR EPISODE DETECTION AND EVALUATION WITH VISIT GUIDES, ACTION PLANS AND/OR SCHEDULING INTERFACES","Hayter; Gary A. et al.",,,15/867625,2018-01-10,,,1/1,,ABBOTT DIABETES CARE INC.,,,16.236805,
1,240,,2022-04-28,"SYSTEMS, METHODS, AND APPARATUSES FOR IMPLEMENTING AUTOMATED DATA MODELING AND SCALING OF A SOIL HEALTH DATA FABRIC","Taylor; Todd et al.",,,17/511288,2021-10-26,,,1/1,,Arizona Board of Regents on behalf of Arizona State University,,,48.93544,
,241,,2025-04-08,"Systems, methods, and graphical user interfaces for secure execution of analytical tasks using natural language","Moreno; Julia et al.",,SAS INSTITUTE INC.,18/966201,2024-12-03,"Ries; Laurie A",,1/1,,SAS Institute Inc.,,,48.956528,
,242,,2022-11-08,"Systems, methods, and interfaces for performing inputs based on neuromuscular control","Rubin; Ran et al.",,"Meta Platforms Technologies, LLC",17/010689,2020-09-02,"Edwards; Carolyn R",,1/1,,"META PLATFORMS TECHNOLOGIES, LLC",,,37.63555,
,243,,2020-07-23,"Telecommunications - enabled semitransparent thought- directed cognitive and conceptual communication linkage method for a workplace brain/cognitive education, training, and augmentation program","Shuart; Laird Harrison",,,16/602879,2019-12-16,,,1/1,,"Shuart; Laird Harrison",,,31.427553,
1,244,,2020-11-26,Tool for Optimal Supersaturated Designs,"Lekivetz; Ryan Adam et al.",,,16/985512,2020-08-05,,,1/1,,SAS Institute Inc.,,,42.800632,
,245,,2024-12-26,TRAINING A LOGICAL NEURAL NETWORK WITH A PRUNED LIST OF PREDICATES,"Toleubay; Yeldar et al.",,,18/214377,2023-06-26,,,1/1,,International Business Machines Corporation,,,22.112183,
1,246,,2023-10-24,Training neural networks using priority queues,"Norouzi; Mohammad et al.",,Google LLC,16/174126,2018-10-29,"Hossain; Moazzam",,1/1,,Google LLC,,,35.11463,
,247,,2023-05-25,"TRAINING, EDUCATION AND/OR ADVERTISING SYSTEM FOR COMPLEX MACHINERY IN MIXED REALITY USING METAVERSE PLATFORM","Jo; Geun Sik et al.",,,17/566871,2021-12-31,,,704/235,,INHA University Research and Business Foundation,,,64.13153,
3,248,,2021-04-29,Transformation and Evaluation of Disallowed Combinations in Designed Experiments,"Morgan; Joseph Albert et al.",,,17/144278,2021-01-08,,,1/1,,SAS Institute Inc.,,,40.398075,
1,249,,2023-05-04,TRANSFORMERS FOR REAL WORLD VIDEO QUESTION ANSWERING,"Wu; Bo et al.",,,17/516119,2021-11-01,,,382/157,,International Business Machines Corporation,,,38.423355,
,250,,2017-10-17,Triggering a session with a virtual companion,"Fanty; Mark Alan et al.",,"The Affinity Project, Inc.",15/229074,2016-08-04,"Grant; Michael",,1/1,,"The Affinity Project, Inc.",,,29.001184,
,251,,2021-04-06,Use of neuromuscular signals to provide enhanced interactions with physical objects in an augmented reality environment,"Osborn; Christopher et al.",,"Facebook Technologies, LLC",16/593446,2019-10-04,"Chu; David H",,1/1,,"Facebook Technologies, LLC",,,28.68943,
,252,,2021-04-06,User identification and authentication with neuromuscular signatures,"Osborn; Christopher et al.",,"Facebook Technologies, LLC",16/442378,2019-06-14,"Syed; Nabil H",,1/1,,"Facebook Technologies, LLC",,,42.464825,
,253,,2023-03-09,USES OF BIOMARKERS FOR IMPROVING IMMUNOTHERAPY,"Mitsiades; Constantine S. et al.",,,17/793581,2021-01-22,,,1/1,,"Mitsiades; Constantine S.,Sheffer; Michal,Roth; Jennifer,Mader; Chris C.,Yu; Channing,Golub; Todd R.,Wieten; Lotte,Dana-Farber Cancer Institute, Inc.,The Broad Institute, Inc.,Maastricht University Medical Center",,,7.473763,
,254,,2025-05-29,USING FACIAL MOVEMENTS TO GENERATE A CONVERSATIONAL RECORD,"MAIZELS; Aviad et al.",,Q (CUE) LTD.,19/033020,2025-01-21,,,1/1,,Q (CUE) LTD.,,,42.815098,
25,255,,2024-02-29,USING FACIAL SKIN MICROMOVEMENTS TO IDENTIFY A USER,"MAIZELS; Aviad et al.",,Q (CUE) LTD.,18/504852,2023-11-08,,,1/1,,Q (CUE) LTD.,,,40.69308,
15,256,,2024-02-29,USING PATTERN ANALYSIS TO PROVIDE CONTINUOUS AUTHENTICATION,"MAIZELS; Aviad et al.",,Q (CUE) LTD.,18/503501,2023-11-07,,,1/1,,Q (CUE) LTD.,,,40.396507,
,257,,2022-12-08,USING RESILIENT SYSTEMS INFERENCE FOR ESTIMATING HOSPITAL ACQUIRED INFECTION PREVENTION INFRASTRUCTURE PERFORMANCE,"Platt; Lisa Sundahl",,,17/884768,2022-08-10,,,1/1,,The Research Foundation for the State University of New York,,,34.112484,
1,258,,2020-04-16,Validation Sets for Machine Learning Algorithms,"Lekivetz; Ryan Adam et al.",,,16/692172,2019-11-22,,,1/1,,SAS Institute Inc.,,,45.130535,
3,259,,2021-02-11,VIDEO ANALYSIS USING A DEEP FUSION REASONING ENGINE (DFRE),"Latapie; Hugo et al.",,"Cisco Technology, Inc.",16/708648,2019-12-10,,,1/1,,"Cisco Technology, Inc.",,,78.90699,
1,260,,2022-04-14,VIDEO ANALYTIC PROCESSING WITH NEURO-SYMBOLIC ARTIFICIAL INTELLIGENCE,"Debnath; Biplob et al.",,,17/497246,2021-10-08,,,1/1,,"NEC Laboratories America, Inc.",,,36.911064,
1,261,,2016-12-08,VIDEO TO DATA,"LAKHANI; Naeem et al.",,"CELLULAR SOUTH, INC. DBA C SPIRE WIRELESS",14/910698,2015-02-07,,,1/1,,"CELLULAR SOUTH, INC. DBA C SPIRE WIRELESS",,,34.15812,
3,262,,2018-01-04,VIDEO TO DATA,"Smith, IV; Bartlett Wade et al.",,"CELLULAR SOUTH, INC. DBA C SPIRE WIRELESS",15/197727,2016-06-29,,,1/1,,"CELLULAR SOUTH, INC. DBA C SPIRE WIRELESS",,,30.968613,
,263,,2021-07-20,Visualization of reconstructed handstate information,"Giurgica-Tiron; Tudor et al.",,"Facebook Technologies, LLC",16/258430,2019-01-25,"Nguyen; Phong X",,1/1,,"Facebook Technologies, LLC",,,41.08745,
1,264,,2016-08-18,Wearable and Mobile Brain Computer Interface (BCI) Device and Method,"Connor; Robert A.",,Medibotics LLC,15/136948,2016-04-24,,,1/1,,"Connor; Robert A.",,,42.47927,
,265,,2023-03-09,WEARABLE ELECTRONIC DEVICES AND EXTENDED REALITY SYSTEMS INCLUDING NEUROMUSCULAR SENSORS,"Osborn; Christopher et al.",,,17/722128,2022-04-15,,,1/1,,"META PLATFORMS TECHNOLOGIES, LLC",,,49.322876,
,266,,2025-03-20,Wearable Electronic Devices And Extended Reality Systems Including Neuromuscular Sensors,"Wetmore; Daniel",,,18/890622,2024-09-19,,,1/1,,"Meta Platforms Technologies, LLC",,,49.755352,
,267,,2024-06-04,Zero-shot entity linking based on symbolic information,"Khandelwal; Dinesh et al.",,International Business Machines Corporation,17/575951,2022-01-14,"Siddo; Ibrahim",,1/1,,International Business Machines Corporation,,,45.081852,
