Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Manufacturing/Industrial machinery,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Deep Learning (separable convolution neural network),No,4.0,2-s2.0-85122276831,['remaining useful life'],['Remaining Useful Life']
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"State-space model, Particle filtering",Yes: State-space models and particle filtering are interpretable techniques,4.0,2-s2.0-85096867040,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,images,Fault prediction,Data driven,"MobileNetV3, Low-rank representation networks",No,4.0,2-s2.0-105001086669,['fault prediction'],['Fault prediction']
"Industrial systems (industrial internet of things, iron-making factory)",Industrial systems,,time series,Fault prediction,Rules and/or logic based,"Signal Temporal Logic, Reinforcement Learning",Yes: Signal Temporal Logic formulas,4.0,2-s2.0-85089572292,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,time series,Remaining Useful Life,Data driven,"['Tensor-based t-SVD', 'LSTM']",No,4.0,2-s2.0-85142815014,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,"time series, images",Fault prediction,Data driven,"Tensor robust principal component analysis, Intuitionistic fuzzy support tensor machine, Pinball loss",No,3.0,2-s2.0-85151388993,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Deep learning, Encoder networks",No,3.0,2-s2.0-85173042232,['fault prediction'],['Fault prediction']
Rotating machinery / Bearings,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Attention mechanism,Yes: Attention-based method,4.0,2-s2.0-85201272313,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"time series, images",Fault prediction,Data driven,"Stacked sparse autoencoder (SSAE), Deep neural networks, Convolutional neural networks (CNNs)",No,4.0,2-s2.0-85087830421,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,"['Fourier transform', 'Variational encoder-classifier network', 'Extreme value theory', 'Entropy-based discriminators']",No,4.0,2-s2.0-85129382430,['fault prediction'],['Fault prediction']
Electrical motors in industrial applications,Industrial systems,,"sensor data, time series","['Fault prediction', 'Health assessment']",Data driven,"['Bicoherence analysis', 'Fuzzy C-Means clustering']",Yes: Fuzzy C-Means clustering,4.0,2-s2.0-85114708991,"['fault prediction', 'health assessment']","['Fault prediction', 'Other']"
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Physics based,Finite element analysis,Yes: physical characterization and flux sensor design,2.0,2-s2.0-85196077027,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"['Graph Attention Network (GAT)', 'BiLSTM', 'Multiscale pooling attention']",No,4.0,2-s2.0-105003089097,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Wasserstein Generative Adversarial Network (WGAN),No,4.0,2-s2.0-105008582964,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Deep neural network, Kernel density estimator",No,4.0,2-s2.0-85101477667,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Deep learning,"CNN, Multisensor fusion (via RGB image conversion), Residual networks",No,4.0,2-s2.0-85112647971,['fault prediction'],['Fault prediction']
Manufacturing processes,Manufacturing systems,,"['sensor data', 'images', 'video data']",['Fault prediction'],Data driven,"['Multitask learning', 'Attention-based feature fusion network']",No,4.0,2-s2.0-85211478356,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics based,Finite-element modeling,Yes: Mathematical and physical modeling,4.0,2-s2.0-85100455673,['fault prediction'],['Fault prediction']
Manufacturing plants,Manufacturing systems,,sensor data,Fault prediction,Data driven,"Feature selection, local models (implied, not explicitly named)",Yes: feature selection,3.0,2-s2.0-85112406862,['fault prediction'],['Fault prediction']
Industrial systems / Nondestructive testing of steel wire ropes,Industrial systems,,sensor data,Fault prediction / Fault diagnosis,Data driven,"Signal processing, filtering, sensor fusion",Yes: Signal filtering and fusion techniques are interpretable,2.0,2-s2.0-85097344417,['fault prediction / fault diagnosis'],"['Fault prediction', 'Fault diagnosis']"
Industrial systems monitoring,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Divergence measures (Kullback–Leibler, Pearson divergence), Machine learning models (Naïve Bayes, Decision trees, SVM)","Yes: Decision trees, Naïve Bayes, SVM (can be interpretable based on model complexity)",4.0,2-s2.0-105005865824,['fault prediction'],['Fault prediction']
Industrial bearings systems,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"Mahalanobis distance, feature extraction, signal envelope spectrum analysis","Yes: Mahalanobis distance, feature selection index",4.0,2-s2.0-105001207539,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Multisensor information fusion, contribution discrepancy module, distillation",Yes: Use of contribution evaluation and supervisory signals for interpretability,2.0,2-s2.0-105002322185,['fault prediction'],['Fault prediction']
Chillers,HVAC,,sensor data,Fault prediction,Hybrid,"['SBERT', 'Cross-modal contrastive embedding (CMCE)']",Yes: semantic attributes and text attributes provide interpretability,4.0,2-s2.0-105002287371,['fault prediction'],['Fault prediction']
Large-Scale Industrial Systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Kalman filter, Subspace identification, Residual generator",Yes: Residual generator and fault diagnosis methods are interpretable,3.0,2-s2.0-105002595747,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Hypergraph neural network,No,3.0,2-s2.0-85192215485,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machines,Industrial systems,,sensor data,Fault prediction,Hybrid,"['Music', 'Neural networks']",Yes: Rule-based thresholds and interpretability of signal patterns,4.0,2-s2.0-85087562808,['fault prediction'],['Fault prediction']
"Industrial systems with gearboxes (e.g., manufacturing, machinery repair, or industrial automation)",Industrial systems,,sensor data,Fault prediction,Data driven,Deep learning (Residual Gated Dynamic Sparse Network / Feature learning with attention mechanisms),No,4.0,2-s2.0-85112625495,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,Metropolis-Hastings (M-H) sampling,No,4.0,2-s2.0-85143844084,['remaining useful life'],['Remaining Useful Life']
Metal manufacturing (hot strip mill process),Manufacturing systems,,sensor data,Fault prediction / Root cause analysis,Data driven,"Spatio-temporal causal graphs, convolutional autoencoder",Yes: causal graphs and root cause analysis,4.0,2-s2.0-105005609886,['fault prediction / root cause analysis'],"['Fault prediction', 'Root cause analysis']"
Industrial linear axes / Machinery components,Industrial systems,,sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,3.0,2-s2.0-85139520559,['fault prediction'],['Fault prediction']
Industrial processes,Industrial systems,,sensor data,Fault prediction,Data driven,"['Semi-supervised deep generative models', 'Deep Convolutional Generative Models', 'Convolutional Neural Networks']",No,4.0,2-s2.0-85078707455,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,Multiscale convolutional attention network (MSAN),No,4.0,2-s2.0-85117092020,['remaining useful life'],['Remaining Useful Life']
Industrial equipment / machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"Residual networks, Attention mechanism",No,2.0,2-s2.0-105003380096,['fault prediction'],['Fault prediction']
Industrial systems involving transformers and insulation oil,Industrial systems,Oil and Gas,sensor data,"Fault characteristic gases (H2, C2H2) and temperature",Data driven,Not explicitly specified; based on sensors and exponential functions,"Yes: Use of physical relationships between discharge current, gas concentration, and temperature",2.0,2-s2.0-85100706954,"['fault characteristic gases (h2', ' c2h2) and temperature']",['Other']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Signal processing, Sensitivity analysis",Yes: Intermittent excitation technique and sensitivity measurements are interpretable,3.0,2-s2.0-85135235577,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,,Yes: time-frequency analysis,4.0,2-s2.0-85097925956,['fault prediction'],['Fault prediction']
Gear transmission systems in industrial equipment,Industrial systems,,sensor data,Anomaly prediction,Data driven,"Graph Autoencoder (GAE), Chebyshev Convolutional (ChebConv), Fast Fourier Transform (FFT), Adversarial training",No,4.0,2-s2.0-105004657489,['anomaly prediction'],['Fault prediction']
Manufacturing systems (specifically machines with sensor data in industrial manufacturing environments),Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Multitask learning, Expectation-Maximization, Quadratic Programming","Yes: Polynomial models, latent variable modeling provide interpretability",4.0,2-s2.0-85187390130,['remaining useful life'],['Remaining Useful Life']
Industrial machinery / Equipment monitoring,Industrial systems,,sensor data,Fault prediction,Data driven,Signal analysis,Yes: signal characteristics analysis,3.0,2-s2.0-85133566621,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,"sensor data, images",Fault prediction,Data driven,"Deep learning, Data fusion",No,4.0,2-s2.0-85122076307,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Transformer-based contrastive masking learning,No,4.0,2-s2.0-105005310552,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['cloud model (CM)', 'dynamic-inner principal component analysis (DiPCA)', 'dual stochastic configuration network (dualSCN)']",No,3.0,2-s2.0-105001598835,['fault prediction'],['Fault prediction']
Industrial systems (general fault diagnosis),Industrial systems,,sensor data,Fault prediction,Data driven,Separable 1-D CNN,No,3.0,2-s2.0-85139410019,['fault prediction'],['Fault prediction']
Industrial processes,Industrial systems,,sensor data,Fault prediction,Data driven,"Multiscale content learning, disentanglement modules, encoding-decoding processes",Yes: Disentangled feature representation enhances interpretability,3.0,2-s2.0-105002576442,['fault prediction'],['Fault prediction']
Industrial sensors / MEMS sensors,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Artificial Neural Networks,No,4.0,2-s2.0-105001065825,['remaining useful life'],['Remaining Useful Life']
Industrial gearboxes and transmission systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,Signal processing and feature extraction,Yes: Feature extraction and domain knowledge used for interpretation,4.0,2-s2.0-85192956783,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Measurement campaigns and metrics analysis (not specified as a particular ML or physics model),No,2.0,2-s2.0-85193219049,['fault prediction'],['Fault prediction']
Industrial processes (specifically curing oven or similar thermal systems with distributed parameters),Industrial systems,,sensor data,Fault prediction,Data driven,"Partial Least Squares (PLS), Kernel Density Estimation (KDE)",Yes: Residual analysis and monitoring statistics are interpretable techniques,3.0,2-s2.0-85189176973,['fault prediction'],['Fault prediction']
Industrial control systems / nonlinear systems with faults,Industrial systems,,sensor data,Fault prediction,Hybrid,State observer with adaptive fault-tolerant compensation,Yes: State observer and fault compensation mechanisms are interpretable,2.0,2-s2.0-85131633432,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Hybrid,"Evidence theory, VGG neural networks",Yes: Evidence theory,4.0,2-s2.0-85149379978,['fault prediction'],['Fault prediction']
Pharmaceutical facilities,Pharmaceutical facilities,,structured data,Remaining Useful Life,Hybrid,Model risk assessment and weight fusion,Yes: Model risk assessment and weight fusion are interpretable techniques,4.0,2-s2.0-85137907431,['remaining useful life'],['Remaining Useful Life']
Industrial equipment,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Graph neural network (GNN), Informer network",No,4.0,2-s2.0-85169691368,['remaining useful life'],['Remaining Useful Life']
Rotating machinery / Industrial equipment,Industrial systems,Rotating machinery / Bearings,"sensor data, time series, vibration signals",Fault prediction,"Data driven, Hybrid","Self-supervised learning (pretext task), Statistical feature analysis","Yes: Feature visualization, Fault-discriminative features",4.0,2-s2.0-105006514245,['fault prediction'],['Fault prediction']
Complex industrial processes,Industrial systems,,sensor data,Fault prediction,Data driven,"Graph Convolution Network (GCN), Residual Network",No,4.0,2-s2.0-85182383958,['fault prediction'],['Fault prediction']
"Industrial systems (specifically sensor measurement systems), with application example in nickel flash smelting system",Industrial systems,,sensor data,Fault prediction,Hybrid,"['Binary convolutional autoencoder (BCAE)', 'Bayesian inference (BI)']",Yes: Bayesian inference,2.0,2-s2.0-105003088970,['fault prediction'],['Fault prediction']
Industrial processes,Industrial systems,,sensor data,Fault prediction,Hybrid,Graph Convolutional Network (GCN),"Yes: Attention mechanisms, residual analysis",3.0,2-s2.0-85173050519,['fault prediction'],['Fault prediction']
Industrial systems / Equipment monitoring,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"['Random Forest', 'Deep Neural Network']",Yes: Random Forest,3.0,2-s2.0-85168678907,['fault prediction'],['Fault prediction']
Industrial systems (furnace wall degradation),Industrial systems,,sensor data,Remaining Useful Life,Hybrid,"['Variable Structure Degradation Model (SVSDM)', 'Kalman Filter', 'Maximum Likelihood Estimation (MLE)']",No,4.0,2-s2.0-105007473569,['remaining useful life'],['Remaining Useful Life']
Industrial equipment/Systems maintenance,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,Sequence-feature attention mechanism,No,4.0,2-s2.0-105007631660,['remaining useful life'],['Remaining Useful Life']
Industrial motors,Industrial systems,,sensor data,Fault prediction,Knowledge based,Sliding Mode Observer (SMO),Yes: Sliding Mode Observer,2.0,2-s2.0-85204443256,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series, structured data, images",Fault prediction,Data driven,"Convolutional neural networks (CNN), Variational hypergraph autoencoder (VHAE), Discrete wavelet transform (DWT)",No,4.0,2-s2.0-85194085485,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Convolutional Neural Network (CNN), Maximum Mean Discrepancy (MMD), Transfer Learning",No,3.0,2-s2.0-85171589377,['fault prediction'],['Fault prediction']
"Industrial systems (general), possibly applicable to various industries but not explicitly specified",Industrial systems,,sensor data,Remaining Useful Life,Reinforcement learning,Reinforcement learning (RL),No,3.0,2-s2.0-85149417518,['remaining useful life'],['Remaining Useful Life']
Industrial heat exchangers,Industrial systems,,sensor data,Fault prediction,Hybrid,Mechanism-based modeling and inference analytics,Yes: executable rules and physical models,4.0,2-s2.0-85135233229,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Likelihood-based statistical methods, divergence measures (Young divergence)",Yes: Likelihood-based interpretability,2.0,2-s2.0-85193224341,['fault prediction'],['Fault prediction']
Industrial machinery / Bearing fault diagnosis,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Masked Autoencoder (MAE), Zero-Shot Learning (ZSL)",No,3.0,2-s2.0-85207137059,['fault prediction'],['Fault prediction']
Industrial systems / Machinery fault diagnosis,Industrial systems,,sensor data,Fault prediction,Data driven,Domain adversarial network (a type of neural network),No,2.0,2-s2.0-85172993243,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Separable multiscale convolution', 'Linear transformer', 'Attention mechanisms']",No,4.0,2-s2.0-105001133520,['fault prediction'],['Fault prediction']
Industrial systems / Machinery fault diagnosis,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Transformer, Multiscale feature fusion",No,4.0,2-s2.0-85139866146,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series, images",Fault prediction,"Data driven, Hybrid","Deep CNN (ConvNeXt, ResNet, GCNet), Image fusion technology",No,3.0,2-s2.0-85181570875,['fault prediction'],['Fault prediction']
Industrial gearboxes / Machinery,Industrial systems,,sensor data,Fault prediction,Hybrid,"['Energy operator (EO)', 'Genetic algorithm (GA)', 'Support vector machine (SVM)']",No,3.0,2-s2.0-85133633333,['fault prediction'],['Fault prediction']
"Complex Equipment in Manufacturing (e.g., turbofan engine)",Manufacturing systems,,"sensor data, multisensory data",Fault prediction,Hybrid,"Hypergraph convolution network (HGCN), Residual blocks",No,4.0,2-s2.0-85144782683,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics based,Current-source model analysis,Yes: System impedance and current-source models,4.0,2-s2.0-85147228080,['fault prediction'],['Fault prediction']
Industrial electrical systems,Industrial systems,,"electrical measurements, time series",Anomaly detection,Data driven,"Unsupervised machine learning, Short-time Fourier Transform (STFT)",No,4.0,2-s2.0-85173002273,['anomaly detection'],['Fault detection']
Industrial motors / Electrical machinery,Industrial systems,,time series,Degradation Parameters / Remaining Useful Life,Hybrid,"['Mathematical response surrogate (MRS)', 'Dual-graph time-frequency attention network (DGTFAN)', 'Graph Attention Network (GAT)', 'Encoder-decoder architecture']","Yes: Encoder-decoder architecture, surrogate models",3.0,2-s2.0-105001091310,['degradation parameters / remaining useful life'],"['Other', 'Remaining Useful Life']"
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Deep Q-Learning, Contrastive Learning",No,4.0,2-s2.0-85144010102,['fault prediction'],['Fault prediction']
Industrial processes / Process monitoring,Industrial systems,,sensor data,Fault prediction,Data driven,"Interval principal component analysis (IPCA), Generalized Gaussian distribution-based interval estimation",Yes: Use of statistical process monitoring techniques like PCA and interval estimation,3.0,2-s2.0-85190343517,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Fault prediction,Data driven,"Transfer learning, Data fusion, Feature learning",No,4.0,2-s2.0-85169694793,['fault prediction'],['Fault prediction']
Industrial IoT devices / batteries,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"['Extreme Learning Machine (ELM)', 'Random Vector Functional Link (RVFL) neural network']",No,4.0,2-s2.0-85141534120,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Current waveform analysis, threshold testing, and testing schemes (no specific ML or rules explicitly mentioned)",Yes: Current waveform characteristics and threshold-based diagnosis,2.0,2-s2.0-85212391253,['fault prediction'],['Fault prediction']
Industrial equipment / machinery,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Self-attention, Transformer",No,4.0,2-s2.0-85126718326,['remaining useful life'],['Remaining Useful Life']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,multichannel signals,Remaining Useful Life,Data driven,"Complex Graph Neural Network (CGNN), Graph convolution, Graph construction with picture-in-picture strategy",No,3.0,2-s2.0-85153508364,['remaining useful life'],['Remaining Useful Life']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Principal properties attention matching (PPAM),Yes: attention mechanism,4.0,2-s2.0-85185373371,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Chebyshev graph convolutional network (ChebCGN), Bidirectional LSTM (BiLSTM)",No,4.0,2-s2.0-85135208384,['remaining useful life'],['Remaining Useful Life']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Wavelet transform, Linear regression",Yes: Linear regression,4.0,2-s2.0-85098773611,['fault prediction'],['Fault prediction']
Industrial systems / Systems with sensor data,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,Graph Neural Network (GNN),No,4.0,2-s2.0-85178023045,['remaining useful life'],['Remaining Useful Life']
Industrial electrical systems,Industrial systems,,sensor data,Fault prediction,Data driven,Anomaly detection framework (specific techniques not specified),No,3.0,2-s2.0-85096752627,['fault prediction'],['Fault prediction']
Industrial motors,Industrial systems,,sensor data,Fault prediction,Data driven,Empirical Mode Decomposition (EMD),Yes: Empirical Mode Decomposition (EMD) technique,4.0,2-s2.0-85117620611,['fault prediction'],['Fault prediction']
Industrial processes,Industrial systems,,sensor data,Fault prediction,Data driven,"Graph Neural Networks (GNNs), Attention mechanism",No,4.0,2-s2.0-85121784331,['fault prediction'],['Fault prediction']
Automobile manufacturing / Transport machinery,Manufacturing systems,,multisensory data,Fault prediction,Data driven,"['Deep capsule network', 'Ensemble learning']",No,3.0,2-s2.0-85083226087,['fault prediction'],['Fault prediction']
Rotating machinery monitoring / Bearings,Rotating machinery,Rotating machinery / Bearings,"sensor data, time series",['Fault prediction'],Data driven,"['Variational Mode Decomposition', 'Independent Component Analysis']",Yes: Independent Component Analysis,3.0,2-s2.0-85079618545,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Attention-based multidimensional concatenated convolutional neural network,No,4.0,2-s2.0-85104676476,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,"Clustering algorithm, rule-based selection, data-driven detection",Yes: Rules and clustering,4.0,2-s2.0-85107190813,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,"sensor data, time series, images, structured data",Fault prediction,Data driven,"CNN, Wavelet transform",No,2.0,2-s2.0-85084955732,['fault prediction'],['Fault prediction']
Rotating machinery (bearings and pumps),Rotating machinery,Rotating machinery / Bearings,images,Fault prediction,Data driven,Transfer Convolutional Neural Networks (CNN),No,3.0,2-s2.0-85077771567,['fault prediction'],['Fault prediction']
Industrial motors / rotating machines,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Electrical signature analysis (ESA),Yes: Electrical signature analysis,4.0,2-s2.0-85100949469,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",['Fault prediction'],Hybrid,"Markov chain, elemental filter, Kalman filter",Yes: transition probability matrix and sensor trust prioritization are interpretable components,2.0,2-s2.0-85125304602,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Not specified,No,0.0,2-s2.0-85088875932,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,images,Fault prediction,Physics informed,Forward model,Yes: physics-based model,1.0,2-s2.0-85159819224,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"Deep domain adaptative network (DDAN), Selective Convolutional Recurrent Neural Network (SCRNN)",No,4.0,2-s2.0-85107218128,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Not explicitly specified, but based on measurement analysis (implies signal processing and possibly machine learning techniques)",No,2.0,2-s2.0-85212332613,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Signal processing algorithms, cyclostationary analysis",Yes: signal processing algorithms,3.0,2-s2.0-85099105464,['fault prediction'],['Fault prediction']
Industrial power electronics / Inverter systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Temporal convolutional neural network, FFT, Park transform",No,2.0,2-s2.0-105000650934,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics based,Finite-element simulations,Yes: analytical model,2.0,2-s2.0-105002697417,['fault prediction'],['Fault prediction']
Industrial systems with nonlinear control and sensor fault diagnosis,Industrial systems,,sensor data,Fault prediction,Data driven,"Neural networks, adaptive observer, deterministic learning method",Yes: adaptive neural network and observer-based approach,3.0,2-s2.0-85112400951,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Convolutional Gated Recurrent Unit (ConvGRU), semi-supervised learning",No,3.0,2-s2.0-85112151165,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, images",Fault prediction,Hybrid,"Kalman Filter, probabilistic health monitoring",Yes: rule-based health characterization and probabilistic weighting,3.0,2-s2.0-85196100920,['fault prediction'],['Fault prediction']
"Industrial systems (general), specific industry not explicitly specified",Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Feature fusion, constrained optimization, differential evolution, state-space model",No,3.0,2-s2.0-85112521799,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Not specified explicitly,No,0.0,2-s2.0-86000426116,['fault prediction'],['Fault prediction']
Industrial systems / Mechanical vibration monitoring,Industrial systems,,"sensor data (rfid-based vibration signals, spectrograms)","['Fault prediction', 'Device identification']",Data driven,"Spectrogram analysis, possibly machine learning classifiers (not explicitly specified)",No,4.0,2-s2.0-85139515877,"['fault prediction', 'device identification']","['Fault prediction', 'Other']"
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,,No,1.0,2-s2.0-105001072795,['fault prediction'],['Fault prediction']
Electrical motors / Industrial instrumentation,Industrial systems,,environmental magnetic field data,Magnetic field distribution and interference analysis,Physics based,"Maxwell equations, Mathematical modeling, COMSOL simulation",Yes: physics-based models and mathematical explanations,0.0,2-s2.0-85135567554,['magnetic field distribution and interference analysis'],['Other']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Impedance detection, simulation",Yes: Signal and parameter analysis,3.0,2-s2.0-85114516252,['fault prediction'],['Fault prediction']
Industrial drives / Motor systems,Industrial systems,,sensor data (current sensors),Fault prediction / Fault detection,Data driven,"Mathematical fault detection methods (discrete derivatives, difference operators)",Yes: mathematical operators and fault detection logic,2.0,2-s2.0-85189495304,['fault prediction / fault detection'],"['Fault prediction', 'Fault detection']"
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"Not explicitly mentioned, but likely based on signal processing and statistical analysis",Yes: Geometric properties and phase-velocity model,3.0,2-s2.0-86000378354,['fault prediction'],['Fault prediction']
"Industrial processes (general), specifically process monitoring in manufacturing environments",Industrial systems,,"sensor data, time series",Fault prediction / Quality indicator monitoring,Data driven,"Principal Component Regression (PCR), Adapted with resampling and mutual information for feature selection",Yes: Mutual information for feature selection and principal component regression offer interpretability,3.0,2-s2.0-85115174175,['fault prediction / quality indicator monitoring'],"['Fault prediction', 'Other']"
Industrial systems with multisource sensor data for fault diagnosis,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Contrastive learning, Supervised contrastive loss",No,2.0,2-s2.0-105010084701,['fault prediction'],['Fault prediction']
Industrial plants / Industrial automation,Industrial systems,,structured data,"Not explicitly specified (related to protocol communication, not predictive maintenance)",Other,,No,0.0,2-s2.0-85117291333,"['not explicitly specified (related to protocol communication', ' not predictive maintenance)']","['Predictive maintenance', 'Other']"
"Industrial systems with control components, potentially applicable to manufacturing or automated systems, but not explicitly specified as HVAC, pharmaceutical, or chip manufacturing.",Industrial systems,,structured data,Fault prediction,Hybrid,"Stochastic models, Markov processes, finite frequency domain analysis",Yes: Interpretable stochastic and filter-based methods,2.0,2-s2.0-85106519232,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Extremum seeking control,No,2.0,2-s2.0-85200241694,['fault prediction'],['Fault prediction']
Industrial manufacturing processes,Industrial systems,,sensor data,Anomaly detection,Data driven,"['Principal Component Analysis (PCA)', 'Autoencoder']","Yes: PCA (interpretable), autoencoder (less interpretable)",2.0,2-s2.0-85122838809,['anomaly detection'],['Fault detection']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Kernel Density Estimation (KDE),Yes: KDE,4.0,2-s2.0-85131753828,['fault prediction'],['Fault prediction']
