Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Aerospace systems,Sensor data,Remaining Useful Life,Data driven,"['ConvLSTM', 'U-Net', 'ConvJANEL']",No,4,2-s2.0-85151746881
Transportation systems / Railway wheelset bearings,Sensor data,Fault prediction,Data driven,Adversarial feature learning / Deep neural networks,No,4,2-s2.0-85143121620
Industrial systems,"Sensor data, Time series",Fault prediction,Data driven,Convolutional Autoencoder,No,4,2-s2.0-85151708400
Industrial systems (general engineering systems with vibration components),"Sensor data, Time series, Images (frequency domain data from spectrum analysis)","Fault prediction, Remaining Useful Life",Data driven,"Convolutional Neural Network (CNN), Multi-head Self-Attention",No,3,2-s2.0-85134781815
Aerospace systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"Temporal convolutional network, Self-attention mechanism",No,3,2-s2.0-85143150281
Automotive,"Sensor data, Structured data, Unstructured data","Remaining Useful Life, Fault prediction",Data driven,Not specified,No,2,2-s2.0-85137175299
Water quality monitoring,"['Sensor data', 'Time series']","['Water quality status', 'Trend analysis']",Data driven,"Not explicitly specified, likely basic statistical or rule-based analysis based on sensor data",Yes: Rule-based or straightforward threshold analysis,2,2-s2.0-85133891116
Unstructured outdoor environments / Field robotics,Images,Water hazard detection,Data driven,YOLOv3,No,1,2-s2.0-85147332211
Aeronautics / Aerospace facilities,Sensor data,Fault prediction,Data driven,Unscented Kalman Filter,Yes: Kalman Filter,2,2-s2.0-85141194379
Elevator / Lift systems,Sensor data,Fault prediction,Hybrid,Probabilistic model checking,Yes: formal reasoning / probabilistic verification,4,2-s2.0-85164135898
Civil infrastructure / Structural health monitoring,Sensor data,"Remaining Useful Life, Fault prediction",Data driven,Deep Learning,No,3,2-s2.0-85141058815
Industrial systems / Safety-critical processes,Sensor data,Fault prediction,Rules and/or logic based,"['Sliding mode observer', 'Norm estimator', 'Reduced-order linear observer']",Yes: Sliding mode observer,1,2-s2.0-85144599041
Chip manufacturing,Structured data,Fault prediction,Rules and/or logic based,"Current consumption measurement, On-chip sensor",Yes: Rules-based detection,3,2-s2.0-85142828981
Industrial systems with rotating machinery or bearings,Sensor data,Fault prediction,Data driven,Machine Learning,No,4,2-s2.0-85137179220
Industrial systems / Electric motors,Sensor data,Fault prediction,Data driven,"Sequence mining, Data dependency analysis",Yes: Interpretation of sequence mining and data dependency analysis,3,2-s2.0-85137772155
Industrial motors / Electromechanical systems,Sensor data,Fault prediction,Data driven,Minimum variance beam-forming,No,3,2-s2.0-85146348967
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Convolutional Multi-Head Attention, Domain Alignment",No,4,2-s2.0-85127589332
Industrial systems / Power equipment,"Sensor data, Structured data",Fault prediction,Data driven,"SVM, KNN, RF, NBM, PCA","Yes: PCA (for classification visualization), other ML models are less interpretable",3,2-s2.0-85143982926
Industrial control systems (specifically wind speed control devices),Sensor data,Fault prediction,Rules and/or logic based,"Expert system, fault tree analysis",Yes: rules and inference engine,2,2-s2.0-85141394249
Motor and equipment monitoring in industrial settings,Sensor data,Fault prediction,Physics based,Finite Element Analysis (FEA),Yes: FEA,2,2-s2.0-85159409238
Renewable energy systems / Photovoltaic (PV) systems,Time series,Fault prediction,Data driven,Permutation entropy (WPE),Yes: permutation entropy,2,2-s2.0-85152240589
Industrial equipment / Manufacturing,Sensor data,Remaining Useful Life,Data driven,Machine learning models,No,3,2-s2.0-85143132727
Industrial manufacturing / Mechanical integrity testing (related to aircraft and automotive industry),Sensor data,Fault prediction,Data driven,"Gaussian convolutional deep belief network (CDBN), feature fusion",No,2,2-s2.0-85137813156
Electrical machinery / Motor systems,Sensor data,Fault prediction,Data driven,"['CNN', 'DNN']",No,2,2-s2.0-85132721296
Electric motors in industrial systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,Vibration spectral analysis,Yes: Spectral analysis,4,2-s2.0-85139102658
Transportation electrification / Electric motors,['Sensor data'],['Fault prediction'],Data driven,Analytical verification and experimental validation (specific ML or analytical models not explicitly mentioned),Yes: Analytical and experimental validation,2,2-s2.0-85144016836
Navigation systems,Sensor data,Fault prediction,Data driven,LVQ neural network,Yes: Interpretable neural network (LVQ),2,2-s2.0-85144628140
CPS / IoT-based Cyber Physical Systems,"Sensor data, Time series",Fault prediction,Data driven,Feature and instance selection algorithms,Yes: feature and instance selection provides interpretability,4,2-s2.0-85137975900
Chocolate production line,Data stream,Predictive maintenance,Hybrid,Data stream programming,Yes: white box,2,2-s2.0-85143768471
Aero-engines,"Sensor data, Time series",Remaining Useful Life,Hybrid,"['CNN', 'LSTM', 'mRMR']",No,4,2-s2.0-85151709555
"Industrial systems (generic), not specific to HVAC, commercial buildings, pharmaceutical facilities, or chip manufacturing",Structured data,Fault prediction,Rules and/or logic based,Residual-based detection,Yes: Residual bank and thresholds,2,2-s2.0-85134355824
Electrical machinery and drives (specifically PMSM systems),Sensor data,Fault prediction,Rules and/or logic based,Indexed based methods,Yes: Rules-based methods,3,2-s2.0-85144019788
Electro-Hydrostatic Actuators (EHA) in industrial applications such as aircraft and ships,Sensor data,Fault prediction,Data driven,2D-CNN,No,3,2-s2.0-85143144708
Wireless sensor networks,Sensor data,Fault prediction,Data driven,Simulations,No,1,2-s2.0-85163099441
Chip manufacturing,"Sensor data, Time series",Remaining Useful Life,Data driven,"Deep Belief Network (DBN), Long Short-Term Memory (LSTM)",No,4,2-s2.0-85134325926
Motors / Industrial Machinery,Sensor data,Fault prediction,Data driven,Shallow Neural Network / CNN,No,1,2-s2.0-85146343296
Industrial manufacturing,"Sensor data, Field data, IoT data",Fault prediction,Data driven,"Fault detection algorithm (unspecified, likely statistical or ML-based)",Yes: intuitive fault diagnosis,3,2-s2.0-85185886323
Commercial buildings,Sensor data,Remaining Useful Life,Data driven,Machine learning algorithms,No,4,2-s2.0-85179626177
Aeroengine control system,"Time series, Sensor data",Fault prediction,Data driven,"['LSTM', 'CNN']",No,1,2-s2.0-85186745545
Aerospace / Aero-engine systems,Sensor data,Fault prediction,Data driven,Data-driven residual generation and robust performance index methods,Yes: Residual-based fault diagnosis with robust performance index,4,2-s2.0-85186743487
Agricultural systems (crop/density estimation),"['Sensor data', 'Images', 'Point cloud data']","['Object detection', 'Density estimation']",Data driven,"Sensor fusion, 3D object detection, Clustering",No,0,2-s2.0-85175658639
Aircraft engines,Multi-sensors,Remaining Useful Life,Data driven,CNN-GRU,No,4,2-s2.0-85188109942
Commercial vehicles (bus door system),Sensor data,Fault prediction,Data driven,"Reliability performance indicators, statistical analysis",Yes: Reliability performance indicators,3,2-s2.0-85166740364
Other,Sensor data,Fault prediction,Data driven,Residual peak envelope method (RPEM),Yes: Signal processing and fault diagnosis techniques are interpretable,4,2-s2.0-85169622368
Autonomous Vehicles,['Sensor data'],['Fault prediction'],Data driven,Machine Learning,No,0,2-s2.0-85159452280
Industrial systems (specifically motor pump systems),Sensor data,Fault prediction,Data driven,"Recurrent Neural Network (RNN), Self Organizing Map (SOM)",Yes: topological structure of the map and fault localization,3,2-s2.0-85185846678
Industrial systems involving rolling bearings,Sensor data,Fault prediction,Data driven,"Generative Adversarial Network (GAN), Auxiliary classifier GAN, Spectrum normalization",No,4,2-s2.0-85184828635
Renewable energy / Wind turbines,"Sensor data, Time series",Fault prediction,Data driven,Not explicitly specified,No,3,2-s2.0-85179845653
Manufacturing plants,"Sensor data, Measurements, Images",Anomaly detection,Data driven,"GAN-based data imputation, Unsupervised anomaly detection methods",No,4,2-s2.0-85167780627
Industrial systems (specifically pipeline or structural systems),Sensor data,Fault prediction,Data driven,Algorithms for fault detection and localization (specific techniques not explicitly mentioned),Yes: interpretable algorithms for fault prediction and localization,3,2-s2.0-85183629741
Industrial control systems,Measured inputs and outputs,Fault prediction,Rules and/or logic based,High level Petri nets,Yes: Petri nets,2,2-s2.0-85185839187
Industrial transmission systems,['Sensor data'],['Fault prediction'],Data driven,,No,2,2-s2.0-85192395266
Mining safety and worker health monitoring,Sensor data,Fault prediction,Data driven,Machine learning algorithms,No,2,2-s2.0-85187355517
Power systems / Electrical equipment monitoring,Sensor data,Fault prediction,Hybrid,"['Wavelet decomposition', 'Particle Swarm Optimization', 'Back Propagation Neural Network']","Yes: feature extraction via wavelet decomposition provides interpretability, neural networks are generally less interpretable but combined with wavelet features they offer some explainability",3,2-s2.0-85191455700
UAV systems / Multi-rotor UAVs,Sensor data,Fault prediction,Data driven,OS-Fuzzy-ELM,Yes: Fuzzy logic; machine learning techniques,3,2-s2.0-85136152609
Electrical machines / Mechanical systems,Sensor data,Fault prediction,Data driven,Convolutional Neural Network (CNN),No,4,2-s2.0-85182330334
Other,Sensor data,Fault prediction,Knowledge based,Residual χ2 fault detection,Yes: Residual χ2 fault detection,2,2-s2.0-85176276379
Power cable manufacturing,Sensor data,Fault prediction,Data driven,"['VMD', 'Autoencoder', 'SVDD']",No,3,2-s2.0-85186506583
Power transformers,Sensor data,Fault prediction,Data driven,Recurrent Neural Network (RNN),No,3,2-s2.0-85192396082
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Logistic Regression', 'Random Forest Classifier', 'Support Vector Machine', 'Decision Tree Classifier', 'Extreme Gradient Boost', 'Neural Networks']",No,4,2-s2.0-85152208691
Industrial rotating equipment (such as bearings and gears) in mechanical systems,"Sensor data, Time series, Images",Fault prediction,Data driven,"['ConvNeXt-CNN', 'CNN']",No,4,2-s2.0-85150441987
Industrial motors,Sensor data,Fault prediction,Data driven,SVM,No,4,2-s2.0-85187348413
Wireless sensor networks (WSNs) and environmental monitoring systems,Sensor data,Fault prediction,Rules and/or logic based,Fault detection and diagnosis protocols,Yes: Rules and logic-based methods,1,2-s2.0-85137454268
Power transformers,Images,Fault prediction,Other,None specified,No,0,2-s2.0-85171200285
Aerospace systems / Turbofan engine,"Sensor data, Time series",Remaining Useful Life,Data driven,"['Random Forest', 'Gradient Boosted Machine']",No,0,2-s2.0-85185827930
Aero-engine systems,"['Sensor data', 'Time series']",Remaining Useful Life,Data driven,"['Transformer', 'CNN', 'LSTM', 'Contrastive learning']",No,4,2-s2.0-85150474749
Industrial equipment / rotating machinery (specifically generator units),Sensor data,Fault prediction,Data driven,Stress wave analysis (specific signal processing of high-frequency sensors),Yes: Interpretable signal analysis,3,2-s2.0-85160058243
Industrial systems / industrial processes,Sensor data,Fault prediction / Anomaly detection,Data driven,"['CNN', 'RNN']",No,3,2-s2.0-85187351140
Agriculture / IoT applications,Sensor data,Fault prediction,Data driven,"Feature engineering, anomaly detection models",Yes: Feature engineering and anomaly detection models are generally interpretable,2,2-s2.0-85159081965
Data center facilities,Sensor data,Fault prediction,Data driven,Not specified explicitly,No,4,2-s2.0-85141490123
Gas Insulated Switchgear (GIS) in power grids,"['Sensor data', 'Images']",['Fault prediction'],Data driven,"Ultrasonic detection, UHF method, optical fiber sensors",No,2,2-s2.0-85192359806
Industrial process control,Sensor data,Fault prediction,Data driven,Event-based modeling and estimation,Yes: Event-based modeling,3,2-s2.0-85183458351
Industrial systems / machinery,Electrical signals,Fault prediction,Data driven,EMD (Empirical Mode Decomposition),No,2,2-s2.0-85134249672
Electric motor systems / Industrial machinery,Sensor data,Fault prediction,Data driven,Harmonic compensation algorithm,Yes: Harmonic analysis and flux elimination techniques,2,2-s2.0-85182332068
Solar PV systems,Sensor data,Fault prediction,Data driven,ANN,No,2,2-s2.0-85186694913
Industrial motors / Electrical equipment,Sensor data,Fault prediction,Data driven,"Signal processing, possibly machine learning techniques for classification (not explicitly specified)",Yes: signal processing techniques and index-based methods are typically interpretable,3,2-s2.0-85183657733
Electrical motors and drives,Sensor data,Fault prediction,Rules and/or logic based,"Binary functions, simple logic",Yes: Rules-based logic,3,2-s2.0-85175856984
Industrial electrolyzer systems,Sensor data,Fault prediction,Data driven,Deep Learning,No,1,2-s2.0-85185827305
Oil upstream industry,"Sensor data, Unstructured data, Time series",Fault prediction,Data driven,Not specified,No,2,2-s2.0-85146427719
"Industrial systems involving rotating machinery, specifically bearing failure detection in induction motors.",Time series,Fault prediction,Data driven,"['Logistic regression', 'Mutual information', 'Variance inflation factor', 'Decision trees', 'Support vector machines', 'Multilayer perceptron', 'k-Nearest Neighbors']","Yes: Decision trees, Logistic regression",4,2-s2.0-85183616651
Industrial automation and robotics,"Sensor data, Images","Fault prediction, Root cause analysis",Data driven,"Artificial Neural Networks (ANN), Computer Vision (CV)",No,2,2-s2.0-85187377985
"Industrial fluid systems (pipelines, tanks)",Sensor data,Fault prediction,Data driven,Capsule Neural Network (Caps Net),No,4,2-s2.0-85179836657
"Industrial plants, specifically machinery/equipment such as bearings in industrial systems",Sensor data,Fault prediction,Data driven,"Deep neural Long-Short-Term-Memory, Recurrent Neural Network (CRNN)",No,4,2-s2.0-85158056951
Lighting systems in industrial environments,Unstructured data,Predictive maintenance / Operational decision making,Data driven,Advanced analytics (implied machine learning / statistical analysis),No,2,2-s2.0-85179855284
Industrial motors,Sensor data,Fault prediction,Data driven,"Signal processing, IoT system",Yes: interpretable signal measurements and visualizations,3,2-s2.0-85146431794
Industrial systems or machinery monitoring,"Sensor data, Time series",Fault prediction,Data driven,Time domain analysis,Yes: Interpretable time-based analysis,4,2-s2.0-85140900699
Industrial systems (general),Sensor data,Remaining Useful Life,Data driven,Not explicitly specified,No,3,2-s2.0-85187362664
Other,Sensor data,Fault prediction,Data driven,"['Convolutional Neural Networks', 'Transformer']",No,0,2-s2.0-85181770125
Industrial systems,Sensor data,Fault prediction,Data driven,Negative selection algorithm,No,2,2-s2.0-85185883495
Electrical motors / Induction motors,Sensor data,Fault prediction,Rules and/or logic based,Threshold approach,Yes: Threshold-based method,3,2-s2.0-85163747923
Industrial motors/rotating machinery,Sensor data,Fault prediction,Physics based,Fundamental equations,Yes: physics-based model,4,2-s2.0-85136160372
Heavy industries / rotating machines,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85186748855
Industrial machinery / equipment,Sensor data,Fault prediction,Data driven,"LSTM, Autoencoder LSTM, Prophet",No,4,2-s2.0-85166675421
Industrial motor systems,['Sensor data'],['Fault prediction'],Rules and/or logic based,"['Sliding-Mode Observer', 'Lyapunov stability analysis']",Yes: Rules and logic based,3,2-s2.0-85156130722
Electrical systems / Power transformers,"Sensor data, Time series",Fault prediction,Data driven,"Fourier Transform, Signal processing metrics","Yes: Fourier Transform, spectral analysis",3,2-s2.0-85183665905
Transformer oil analysis for gas sensors,Unstructured data,Fault prediction,Physics based,Density Functional Theory (DFT),Yes: Differential charge density (DCD) and density of states (DOS) provide interpretability,2,2-s2.0-85190986754
Mechanical systems / Rotating machinery,"Sensor data, Acoustic signals",Fault prediction / Fault localization,Physics based,"Cyclic spectral density (CSD), Beamforming",Yes: Spectral analysis / Visualization of cyclostationary features,2,2-s2.0-85184811826
Battery systems / Electric vehicle batteries,Sensor data,Remaining Useful Life,Data driven,"['Cuckoo Search', 'Particle filtering', 'Exponential growth model']",No,3,2-s2.0-85179847759
Electrified transportation systems,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,2,2-s2.0-85182334728
Power grid inspection robots / Substation monitoring,"Sensor data, Structured data",Fault prediction,Data-driven,"Sensor fusion algorithms, Fault detection algorithms",Yes: Rules-based and fault detection interpretability,2,2-s2.0-85176260827
Integrated energy systems,"Sensor data, Controller data, Computer data",Fault prediction,Data driven,"['LightGBM decision tree', 'Local mean decomposition']",Yes: Decision trees,3,2-s2.0-85190524121
Electrical fault detection in DC systems,"Sensor data, Time series, Images",Fault prediction,Data driven,"SHAP, XGBoost",Yes: SHAP,2,2-s2.0-85186705715
Cyberphysical systems in Industry 5.0,Sensor data,Fault prediction or defective sensor detection,Hybrid,"Blockchain, RAFT consensus",Yes: Blockchain provides transparency and traceability,3,2-s2.0-85179853878
Power systems / Electrical systems,Sensor data,Fault prediction,Data driven,"DBN, LSSVM",No,3,2-s2.0-85160109204
Industrial systems,Sensor data,Fault prediction,Data driven,Neural networks,No,4,2-s2.0-85182342627
Power systems,Sensor data,Fault prediction,Data driven,Not specified explicitly,No,2,2-s2.0-85182561044
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Support Vector Machine (SVM), Fourier Transform (FFT)",Yes: features and hyper-parameter tuning provide interpretability,4,2-s2.0-85202434486
Aero engines / Industrial equipment,"Multi-sensor data, Times series",Remaining Useful Life,Data driven,"Deep transfer learning, Temporal regression, Bootstrap method",No,4,2-s2.0-85150466324
Healthcare services / Ambulance services,Sensor data,None (predictive maintenance / risk mitigation),Data driven,Not specified,No,2,2-s2.0-85184804757
Industrial equipment,Sensor data,Remaining Useful Life,Data driven,Machine Learning,No,4,2-s2.0-85187549869
Pharmaceutical facilities,Sensor data,Remaining Useful Life,Data driven,"['RNN', 'LSTM']",No,4,2-s2.0-85187335169
"Industrial systems (e.g., smart factory, industrial machinery)","Sensor data, Time series","Remaining Useful Life, Fault prediction",Data driven,"Machine learning, general sensor data analysis techniques",No,4,2-s2.0-85179846098
Power systems / Electrical equipment,Sensor data,Fault prediction,Rules and/or logic based,Spearman rank correlation coefficient,Yes: Spearman rank correlation coefficient,2,2-s2.0-85191431716
"Industrial rotating machinery (specifically, bearings)","Sensor data, Time series",Fault prediction,Hybrid,"Support Vector Machine (SVM), heuristic optimization algorithms (arithmetic optimization algorithm), entropy-based feature extraction",Yes: Entropy-based features and SVM are interpretable,4,2-s2.0-85170291553
Manufacturing,"['Sensor data', 'Time series']",['Fault prediction'],Physics informed,Extended Kalman Filter (EKF),Yes: Kalman Filter / State estimation,2,2-s2.0-85185199845
Transportation / Autonomous Vehicles,Sensor data,Fault prediction / Health status detection,Data driven,Ant Colony Optimization (ACO),No,2,2-s2.0-85147140273
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Feature extraction, waveform component separation",Yes: Feature extraction techniques,4,2-s2.0-85182598623
Electrical equipment (power system components),Structured data,Fault prediction,Physics based,Finite element simulation (ANSYS),Yes: physics-based modeling and simulation,2,2-s2.0-85185882258
Mechanical equipment monitoring,Sensor data,Fault prediction,Data driven,"Variational Mode Extraction (VME), Spectral Kurtosis (FSK), Sparrow Search Algorithm (SSA)",Yes: Variational Mode Extraction (VME),2,2-s2.0-85184800563
Electric power systems / Microgrids,Sensor data,Fault prediction,Hybrid,Unknown Input Observer / Optimization-based approach,Yes: Observer-based interpretability,2,2-s2.0-85175183875
Industrial systems (motors and sensors in electrical drives),Sensor data,Fault prediction,Data driven,"Student's T distribution-based estimation, observer techniques","Yes: Interpretable statistical methods (e.g., Student's T distribution, observer-based methods)",2,2-s2.0-85182953220
Ultra-high voltage transmission lines,"['Infrared images', 'Sensor data', 'Environmental data']",['Fault prediction'],Data driven,Not explicitly specified,No,3,2-s2.0-85182789325
Robotics / Industrial automation,"Structured data (joint position sensors), Time series (disturbance over time)","Fault prediction, Root cause analysis",Hybrid,"Sliding Mode Observer (SMO), Nonlinear Disturbance Observer (NDOB), Particle Filter (PF)","Yes: Sliding Mode Observer, Particle Filter",0,2-s2.0-85146426272
Industrial fire detection systems,"['Sensor data', 'Structured data']",['Fault prediction'],Rules and/or logic based,Fault Tree Analysis,Yes: Fault Tree Analysis,4,2-s2.0-85187332681
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,Reinforcement learning,No,3,2-s2.0-85150458917
Distribution networks,Sensor data,Fault prediction,Physics based,"Transmission characteristics analysis, signal processing",Yes: physics-based and signal analysis techniques,1,2-s2.0-85182580034
Power systems (GIS) / Electrical insulation monitoring,Time series,Fault prediction,Data driven,,No,0,2-s2.0-85171522487
Aerospace / Aircraft engines,Sensor data,Remaining Useful Life,Data driven,"['Legendre memory model', 'Attention network', 'Residual convolutional network']",No,3,2-s2.0-85184828283
Transformers/ Power systems,Sensor data,Fault prediction,Data driven,Simulation via COMSOL (multiphysics simulation),Yes: Physical simulation / model-based,4,2-s2.0-85183568043
Fire prevention and detection in industrial environments,"['Infrared thermal (IRT) camera', 'RGB cameras', 'Sensors for air composition', 'Sound sensors', 'LiDAR', 'Depth camera']","['Fault detection', 'Fire detection']",Data driven,CNN,No,2,2-s2.0-85156118156
Power transformers,Sensor data,Fault prediction,Physics based,Vibration model analysis,Yes: vibration model analysis,3,2-s2.0-85190464911
Gas Insulated Switchgear (GIS),"Sensor data, Time series, Images",Fault prediction,Data driven,"CNN, Gramian Angular Field",No,4,2-s2.0-85160059269
Weather station / Environmental monitoring,Sensor data,Fault prediction,Data driven,"Logistic regression, Mutual information Variant (MIV)",Yes: Logistic regression,3,2-s2.0-85190383728
Rotary Steerable Tools / Drilling Systems,Sensor data,Fault prediction,Rules and/or logic based,"Set membership unknown input observer, zonotopes",Yes: Rules-based detection logic,2,2-s2.0-85176217191
Chip manufacturing,Sensor data,Fault prediction,Data driven,Nearest-neighbor classification,No,4,2-s2.0-85179627568
Electrocardiogram sensors in medical monitoring,Time series,"['Fault prediction', 'Remaining Useful Life']",Data driven,"['Support Vector Machine', 'K-Nearest Neighbour', 'Decision Tree', 'Naive Bayes', 'Autoregression']","Yes: Decision Tree, Naive Bayes",2,2-s2.0-85163876256
Environmental monitoring / Gas sensor networks,Sensor data,Anomaly detection and identification,Data driven,Machine learning-based,No,2,2-s2.0-85168114181
Liquid rocket engine,Sensor data,Fault prediction,Hybrid,"Reduced-Order Model, State Space",Yes: State space model + reduced-order modeling,1,2-s2.0-85191691936
Other,"Sensor data, Time series",Fault prediction,Physics informed,Kalman filter,Yes: mechanically interpretable,4,2-s2.0-85173866652
Chip manufacturing,"['Sensor data', 'Time series', 'Structured data']","['Fault prediction', 'Yield enhancement']",Data driven,,No,2,2-s2.0-85197734102
Electric motors / Industrial electromechanical systems,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85182953531
Manufacturing,Structured data,Predictive maintenance,Data driven,Machine Learning,No,1,2-s2.0-85187293236
Transformers / Power Equipment,Ultrasonic signals,Partial discharge detection,Physics based,Simulation,Yes: physics-based simulation,2,2-s2.0-85162621125
Industrial systems (specifically electric motors and automation systems),Structured data,Fault prediction,Data driven,2D-CNN,No,2,2-s2.0-85182953091
Autonomous vehicles,Sensor data,Fault prediction,Data driven,"Simulations, Sensor fusion",No,4,2-s2.0-85183465147
Oil and Gas systems / Gas detection in industrial settings,Sensor data,Fault prediction,Physics based,"Cantilever beam modeling and simulation (ANSYS), photoacoustic spectroscopy",Yes: physics-based models and simulations,2,2-s2.0-85185383657
Power transmission and distribution systems,Sensor data,Fault prediction,Knowledge based,"On-site inspection, test detection, and troubleshooting methods",Yes: Interpretability based on inspection and testing procedures,3,2-s2.0-85154545574
Electrical distribution systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,Not explicitly specified,No,2,2-s2.0-85185810585
Manufacturing (Rotating Machinery),"Sensor data, Time series",Fault prediction,Data driven,"CNN, LSTM, Autoencoder (AE), STFT",No,3,2-s2.0-85189931410
Industrial systems / Diesel generators,Sensor data,Fault prediction,Data driven,"['LMD', 'SVM', 'Particle Swarm Optimization (MPSO)']",No,3,2-s2.0-85182791762
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Simulation and experimental results (implying data analysis, possibly with statistical or ML techniques, though not explicitly specified)",No,2,2-s2.0-85172739867
Power electronic converters / Electronic components,Sensor data,Fault prediction,Rules and/or logic based,"Decision Tree Regressor, STLSP",Yes: Decision Tree Regressor,2,2-s2.0-85170646088
Electrical drives systems / Motor control,Sensor data,Fault prediction,Data driven,Simulation and experimental validation (no specific ML or rule-based technique specified),No,2,2-s2.0-85182950099
Industrial machinery monitoring,Sensor data,Fault prediction,Hybrid,"Finite element analysis, experimental validation",Yes: Finite element simulation and experimental results provide interpretability,3,2-s2.0-85191705485
Industrial machinery / Industrial equipment,"Sensor data, Time series",Fault prediction,Data driven,"Support Vector Machines, Artificial Neural Networks, Decision Trees",No,4,2-s2.0-85185806404
Industrial machinery / rotating machinery / bearings,Sensor data,Fault prediction,Data driven,"['Neural Network', 'Feature extraction with Exponential Power Entropy', 'Decision Threshold']",No,4,2-s2.0-85167872869
Photovoltaic systems,Sensor data,Fault prediction,Rules and/or logic based,"Parity space method, Dynamic cumulative sum (DCS) tests",Yes: Residual-based detection methods,3,2-s2.0-85152518197
Vehicle systems / Automotive systems,Sensor data,Fault prediction,Data driven,BP neural network,No,2,2-s2.0-85191716011
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely sensor-based analysis and classification methods",No,2,2-s2.0-85185771362
Chip manufacturing,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85168423498
Medical devices / Healthcare (specifically glucose monitoring systems),Time series,Fault prediction,Data driven,"['Matched filters', 'Random Forest']","Yes: Matched filters (pattern recognition technique, interpretable), Random Forest (partially interpretable)",2,2-s2.0-85181585709
Chip manufacturing,Sensor data,Fault prediction,Data driven,"CNN, Wavelet signal transform",No,3,2-s2.0-85162640815
Industrial systems,Sensor data,Fault prediction,Data driven,"Transformer, Attention mechanism",No,3,2-s2.0-85180012912
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Not explicitly specified, likely signal analysis techniques",No,3,2-s2.0-85168410330
Aviation engines,Sensor data,Remaining Useful Life,Data driven,Long-Short-Term-Memory (LSTM),No,4,2-s2.0-85173022113
Power electronics in motor drives,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85172720727
Chip manufacturing,Sensor data,Fault prediction,Rules and/or logic based,Pattern recognition based on voltage monitoring,Yes: rules-based / pattern matching,2,2-s2.0-85182926297
Industrial machinery or rotating equipment,"['Sensor data', 'Time series']",['Fault prediction'],Hybrid,XGBoost,No,3,2-s2.0-85191757213
Other,Structured data,"State of Charge (SOC), fault detection (implied)",Hybrid,Rules and ML (implied from review of implementation tactics),Yes: Rules-based techniques,1,2-s2.0-85197708313
Mechanical systems,Sensor data,Fault prediction,Data driven,Zero-shot learning with attribute encoding and adversarial networks,No,3,2-s2.0-85186748126
Other (Pipe maintenance/Industrial pipe surface grinding),Sensor data,Grinding force prediction,Data driven,Fitted models from experimental data,Yes: model derived from experimental data and physical understanding,1,2-s2.0-85182581208
Industrial machinery or heavy-duty equipment,Sensor data,Fault prediction,Data driven,CNN,No,4,2-s2.0-85191721105
Underground cables/Power transmission infrastructure,Sensor data,Fault prediction,Hybrid,"Distributed fiber optic vibration sensing, Digital twin",Yes: rule-based and physical hybrid integration,2,2-s2.0-85187252404
Sewage pipe network systems,"Sensor data, Time series",Fault prediction,Data driven,Radial basis neural network (RBFNN),No,3,2-s2.0-85166371210
Automotive industry,Electrical properties data,Sensor status detection,Rules and/or logic based,"Hardware-based validation, microcontroller logic",Yes: rule-based validation,1,2-s2.0-85168155570
Industrial production line,Sensor data,Predictive maintenance,Hybrid,Rules and ML,Yes: rules-based,3,2-s2.0-85179515737
Industrial systems (specifically gear fault diagnosis in manipulators),Sensor data,Fault prediction,Data driven,"Convolutional Neural Networks (CNN), Attention mechanism",No,2,2-s2.0-85187377588
Chip manufacturing,Structured data,Remaining Useful Life,Rules and/or logic based,Built-in Speed Grading (BISG),Yes: Rules and logic,2,2-s2.0-85179514003
Industrial rotating equipment,Sensor data,Fault prediction,Data driven,"Not explicitly specified, likely machine learning or statistical models based on sensor data",No,4,2-s2.0-85192453371
Industrial automation / Power Internet of Things (IoT),Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85154589567
Power systems / Reactors,Sensor data,Fault prediction,Physics based,Finite element simulation,Yes: Finite element simulation,2,2-s2.0-85191442034
"Industrial systems (e.g., manufacturing enterprises, trucks' air pressure system)","Sensor data, Time series",Failure prediction,Data driven,"['Siamese neural network', 'Contrastive learning']",No,4,2-s2.0-85168419056
Electrical power systems / Power grid monitoring,Sensor data,Fault prediction,Data driven,Not explicitly specified (likely signal analysis or machine learning techniques based on sensor data),No,2,2-s2.0-85182942715
