Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Superconducting levitator in maglev trains,Transportation systems,trains,sensor data,Critical liquid nitrogen content detection,Data driven,Kalman filter,No,2.0,2-s2.0-105002734962
Industrial machinery/rotating equipment,Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"['Graph Neural Networks (GNN)', 'Temporal Convolutional Networks (TCN)']",No,4.0,2-s2.0-85211504266
Electrical distribution grids,Electrical systems,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85185228764
Electrical microgrid systems,Electrical systems,,sensor data,Fault prediction / Diagnostics,Physics based,Mathematical relationships / Signal processing,Yes: Mathematical relationships / Signal processing,3.0,2-s2.0-85205407442
Manufacturing equipment,Manufacturing systems,,sensor data,['Remaining Useful Life'],Hybrid,"['K-nearest neighbor (KNN)', 'Graph Kolmogorov-Arnold network (GKAN)', 'Stochastic degradation model']","Yes: rule-based components (e.g., KNN, stochastic model) and interpretability of degradation indices",4.0,2-s2.0-105007296872
Industrial systems / Equipment monitoring,Industrial systems,,sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely sensor-based or signal analysis methods",No,4.0,2-s2.0-85213706481
Industrial sensors / IMU systems,Industrial systems,,time series,Fault prediction,Data driven,"['CNN', 'Transformer']",No,2.0,2-s2.0-105002570244
Trains / Railway systems,Transportation systems,trains,sensor data,Fault prediction / Tightness state recognition,Data driven,Deep convolutional neural networks (DCNNs),No,4.0,2-s2.0-105004671089
"Industrial systems with bearings, likely in manufacturing or motor systems",Industrial systems,Rotating machinery / Bearings,unstructured data (voiceprint data),Fault prediction,Data driven,"Attention mechanism, feature extraction, classifier (specific algorithms not specified)",No,2.0,2-s2.0-86000786759
Manufacturing environments,Manufacturing systems,,time series,Remaining Useful Life,Data driven,"Deep learning (DL), including MLPs, recurrent models, Transformer-based models, TCNs",No,4.0,2-s2.0-85215251721
Power systems,Power systems,,structured data,Fault prediction,Knowledge based,Multiple-model filtering (MMF),Yes: rule-based/knowledge-based methods,1.0,2-s2.0-85124145044
Aerospace,Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,Data driven,"['Graph Neural Network', 'Multiscale CNN', 'Attention Mechanisms', 'BiGRU']",No,3.0,2-s2.0-105003008668
Industrial power systems,Industrial systems,,"sensor data, time series","Fault prediction, Root cause analysis",Hybrid,Deep neural network (DNN),No,2.0,2-s2.0-85163419248
Marine engines,Marine,,sensor data,Performance prediction,Data driven,"Temporal Convolutional Network (TCN), attention mechanisms",No,4.0,2-s2.0-105003927203
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"sound, vibration data",Fault prediction,Data driven,Deep learning (PyTorch),No,4.0,2-s2.0-85195391053
Industrial processes,Industrial systems,,sensor data,Soft sensing / Process data quality improvement,Data driven,"['Deep Koopman Kalman Filter', 'Kalman Filter', 'Koopman operator']",Yes: Kalman filtering,4.0,2-s2.0-105001280448
Electrical wiring systems,Electrical systems,,structured data,Fault prediction,Data driven,"Code correlation analysis, Signal processing techniques",Yes: Interpretable signal analysis techniques,1.0,2-s2.0-105009747307
Industrial gases and sensor systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Kalman filtering', 'Particle swarm optimization', 'Artificial Neural Network (ANN)']",No,3.0,2-s2.0-85210390767
Commercial aviation / Aero propulsion systems,Aicraft / Aviation / Aerospace,,"sensor data, handcrafted features",Remaining Useful Life,Hybrid,"CNN, BiLSTM, Attention mechanism",Yes: Attention mechanism,4.0,2-s2.0-85165385686
Urban air quality monitoring,Civil infrastructure,,sensor data,Fault prediction,Rules and/or logic based,"Dempster-Shafer inference, evidence theory",Yes: evidence theory,2.0,2-s2.0-105008022131
Industrial systems / Machinery fault diagnosis,Industrial systems,,sensor data,Fault prediction,Data driven,"CNN, entropy fusion, dilated convolution, attention mechanisms",Yes: entropy-driven feature learning and attention mechanisms,4.0,2-s2.0-105007986760
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Koopman operators,Yes: Koopman-based models are interpretable and provide insights into system dynamics,4.0,2-s2.0-105005867948
Turbomachinery,Other,,"sensor data, images",['Fault prediction'],Hybrid,"['Domain-adversarial neural network (DANN)', 'CNN']",No,4.0,2-s2.0-85178067123
Gas sensing systems in industrial equipment,Industrial systems,,unstructured data,Fault prediction,Data driven,"Computational chemistry simulations, electronic structure analysis",Yes: thermodynamic and electronic property analysis,2.0,2-s2.0-85207145745
Power systems,Power systems,,waveforms,"Fault prediction, Condition monitoring",Data driven,Not specified,No,0.0,2-s2.0-85169550130
"Networked systems (e.g., fuel, petrochemical, and water supply systems)",Other,,"sensor data, time series",Fault prediction,Data driven,Graph Transformer Network,No,4.0,2-s2.0-85181562548
Electrical power systems,Power systems,,sensor data,Fault prediction,Data driven,Least-squares method (LSM),Yes: Least-squares method (LSM),4.0,2-s2.0-105007626769
Autonomous vehicles / Intelligent transportation systems,Transportation systems,Vehicles,sensor data,Anomaly detection,Data driven,"GAN, Autoencoder",No,2.0,2-s2.0-85187282040
Inertial navigation systems,Navigation systems,,sensor data,Fault prediction,Data driven,"Kalman Filter, Differential Evolution",Yes: Kalman Filter and fault detection logic are interpretable techniques,1.0,2-s2.0-105001069069
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"CNN, Self-attention mechanisms, Inception modules, Squeeze-and-Excitation networks",No,4.0,2-s2.0-105000152581
Multi-agent systems,Other,,sensor data,Fault prediction,Data driven,RBF neural networks,No,1.0,2-s2.0-85194868937
Healthcare / Medical Devices,Healthcare,,sensor data,Fault prediction,Data driven,Distributed machine learning,No,2.0,2-s2.0-86000435667
"Industrial systems with rotating equipment or machinery, such as bearings",Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Remaining Useful Life,Data driven,"Quantile regression, Deep neural networks, t-SNE",Yes: Quantile regression,2.0,2-s2.0-85202348604
Sensor faults in IoT systems for solar insecticidal lamps,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,Separable 1D CNN with attention mechanism,No,1.0,2-s2.0-85131341680
"Automotive systems / Robotics (related to SLAM, odometry, and sensor datasets in vehicles)",Robotics,robots,"sensor data, time series","Part of a dataset description (not explicitly a predictive maintenance output), but if interpreted in the context of predictive maintenance in automotive systems, it might relate indirectly to system health or odometry accuracy",Other,Not specified,No,1.0,2-s2.0-85168741695
Industrial systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Fusion of multisensor data, adaptive feature complementation",No,3.0,2-s2.0-85192137745
IoT sensor networks in industrial or critical infrastructure,Sensor networks,,sensor data,Fault prediction,Knowledge based,"Data-driven feature extraction, anomaly detection",Yes: rule-based and feature extraction methods,4.0,2-s2.0-105001393265
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,"['Particle filter', 'Expectation-Maximization']",No,3.0,2-s2.0-105002306913
"Industrial motors, induction motors, motor driven systems",Industrial systems,,sensor data,Fault prediction,Data driven,Spectral analysis,Yes: Spectral analysis,4.0,2-s2.0-85202751700
Other,Other,,sensor data,Fault prediction,Rules and/or logic based,Geometric consistency and factor subset combination,Yes: geometric consistency and subset analysis,0.0,2-s2.0-105002694105
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,"Not explicitly specified, likely sensor-based analysis with anomaly detection methods",No,4.0,2-s2.0-105001209940
"Industrial machines (gearbox, aircraft engines)",Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Hybrid,Genetic programming (GP),Yes: Transparent modeling architecture,4.0,2-s2.0-85205405774
Industrial processes / Multiphase flow (MPF) process),Industrial systems,,multirate data (irregular sensor data at various sampling rates),Fault prediction,Data driven,"Variational Autoencoder (VAE), multiscale hierarchical modeling",No,3.0,2-s2.0-85190167829
Oil and gas pipelines,Oil and gas industry,Oil and Gas,"['sensor data', 'time series', 'spectral data']","['Fault prediction', 'Remaining Useful Life']",Data driven,['CNN'],No,4.0,2-s2.0-85212441890
Industrial processes,Industrial systems,,sensor data,Fault prediction,Data driven,Autoencoder (AE),Yes: autoencoder,4.0,2-s2.0-105004755514
Electrical motor drives / Industrial systems using PMSM,Industrial systems,,sensor data,Fault prediction,Data driven,2D-CNN,No,4.0,2-s2.0-85180289233
Robotic prostheses and exoskeleton devices,Robotics,robots,sensor data,Fault prediction,Data driven,Gaussian process regression (GPR),Yes: Gaussian process regression,2.0,2-s2.0-85204017336
Mineral engineering,Other,,images,Feed identification (classification of mixed feeds),Data driven,"SE-ResNet, Continuous Wavelet Transform (CWT)",No,2.0,2-s2.0-85194068352
Mobile robot localization,Robotics,robots,sensor data,Fault prediction,Rules and/or logic based,Interval analysis,Yes: Interval analysis,2.0,2-s2.0-85100848343
"Complex systems (e.g., aircraft engines, as per C-MAPSS data)",Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,Data driven,"Kernel Density Estimation (KDE), Mutual Information (MI), entropy weight method, mRMR",No,2.0,2-s2.0-85182937243
Navigation systems / Marine environment,Marine,,"sensor data, time series, images",Fault prediction,Data driven,"CNN, PCA, GAF",No,2.0,2-s2.0-85213071328
Electric Vehicles,Transportation systems,Vehicles,sensor data,Remaining Useful Life,Data driven,Machine learning models,No,3.0,2-s2.0-105000294200
Aerospace engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['Graph Convolutional Network (GCN)', 'Gated Recurrent Unit (GRU)', 'Attention mechanisms']",No,4.0,2-s2.0-85200807544
Energy storage systems / Supercapacitors,Energy systems (not HVAC),,sensor data,Remaining Useful Life,Hybrid,"['Dilated Temporal Convolutional Network (CDTCN)', 'GRU (Gated Recurrent Unit)']",Yes: use of explainable AI techniques,4.0,2-s2.0-105007621056
Remotely Piloted Vehicle (RPV) systems,Transportation systems,vehicles,"sensor data, time series","State estimation, Resilience evaluation",Data driven,Right invariant extend Kalman filter (RIEKF),No,1.0,2-s2.0-105004804330
Manufacturing / Tool condition monitoring,Manufacturing systems,,sensor data,Fault prediction,Data driven,"['Autoencoder', 'Support Vector Machine', 'Random Forest', 'Self-organizing map']",No,3.0,2-s2.0-85203535791
Robot joints,Robotics,robots,sensor data,Fault prediction,Data driven,"Response surface methodology, genetic algorithm","Yes: Response surface methodology, genetic algorithm",3.0,2-s2.0-85187989393
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics informed,DFT calculation,Yes: DFT calculation,2.0,2-s2.0-105003043802
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Convolutional Neural Network (CNN), Cross attention mechanism",Yes: visualized features,4.0,2-s2.0-85205831789
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Deep transform learning (DTL), Subspace interpolation",No,4.0,2-s2.0-85193209984
Machinery / Mechanical systems,Mechanical systems,,sensor data,Fault prediction,Hybrid,"Algorithm unrolling, convolutional neural networks (CNN), iterative algorithms",Yes: interpretable models via algorithm unrolling,4.0,2-s2.0-85178010287
Mechanical systems / Bearings,Mechanical systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Contrastive learning,No,4.0,2-s2.0-85197524212
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Knowledge based,"Evidence theory, Mahalanobis distance, Cyclostationary analysis",Yes: Cyclostationary analysis and evidence theory are interpretable techniques,4.0,2-s2.0-85190747421
Industrial process plants (specifically flange gasket systems),Industrial systems,,sensor data,Fault prediction,Data driven,Fiber Bragg grating (FBG) sensors,Yes: interpretable based on direct measurement of strain and leakage threshold detection,4.0,2-s2.0-105006913139
Industrial systems / Debris monitoring in pipes,Industrial systems,,sensor data,Fault prediction,Physics based,"Magnetic field distribution modeling, simulation, signal filtering",Yes: Physical models and signal processing techniques,2.0,2-s2.0-105001877152
Electrical motors / Machinery fault diagnosis,Electrical systems,,sensor data,Fault prediction,Data driven,"['k-Nearest Neighbors (kNN)', 'Clustering']","Yes: kNN, clustering",2.0,2-s2.0-85193494721
Industrial systems / Equipment maintenance,Industrial systems,,images,Fault prediction,Hybrid,"['K-means++', 'KNN']",Yes: Clustering and KNN are interpretable techniques,4.0,2-s2.0-85179829670
Power transformers,Power systems,,"sensor data, vibration signals",Fault prediction,Data driven,"Convolutional neural network (CNN), Attention mechanism (UCBAM)",No,3.0,2-s2.0-85189646944
Space gravitational wave detection systems,Other,,"structured data, time series",Fault prediction,Data driven,"Informer, Isolation Forest, Monte Carlo simulation",No,3.0,2-s2.0-85212294530
Rotating machinery in industrial equipment (bearing fault diagnosis in power generation and transport),Industrial systems,Rotating machinery / Bearings,"multisensor data, multidomain data",Fault prediction,Data driven,Residual Network (ResNet),No,4.0,2-s2.0-105006678481
Electrical switching devices / Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Support Vector Machine (SVM)', 'CN2 rule classifier', 'Decision Tree (DT)']","Yes: CN2 rule, Decision Tree",4.0,2-s2.0-85181571722
Industrial systems (bearing fault diagnosis),Industrial systems,,sensor data,Fault prediction,Data driven,"Circle fitting algorithm, quadrature demodulation","Yes: circle fitting, quadrature demodulation",4.0,2-s2.0-85182356749
Machine tools in manufacturing,Manufacturing systems,,sensor data,Fault prediction,Hybrid,"['Discrete Wavelet Transform', 'Transfer Learning']",Yes: Discrete Wavelet Transform,4.0,2-s2.0-85195393520
Aircraft engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"Recurrent Neural Network (RNN), Multiscale Discrete Wavelet Transformation (MDWT), Attention mechanisms",No,4.0,2-s2.0-105001417132
Manufacturing / Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Meta-learning (specifically model-agnostic meta-learning, MAML)",No,3.0,2-s2.0-105005073779
Water management / Infrastructure,Water infrastructure,,sensor data,"['Sensor fault classification', 'Remaining Useful Life']",Data driven,"['Decision Tree', 'CNN with LSTM']","['Yes: Decision Tree', 'No: CNN with LSTM']",3.0,2-s2.0-85189547888
Power distribution networks / Cable fault detection,Power systems,,"sensor data, time series",Fault prediction,Data driven,"Random Forest, Support Vector Machine, C4.5 decision tree","Yes: Decision tree, C4.5",2.0,2-s2.0-86000434802
Mass spectrometer systems,Other,,"sensor data, time series","Fault prediction, Calibration error reduction",Data driven,"CNN, LSTM, Variational Autoencoder (VAE)",No,2.0,2-s2.0-85179794048
Hydropower plants,Other,,"sensor data, time series",Fault prediction,Data driven,LSTM,No,2.0,2-s2.0-86000009263
Robotics / Autonomous robots,Robotics,robots,sensor data,Anomaly detection,Data driven,Variational Autoencoder,No,2.0,2-s2.0-85101830723
Electrical systems / Cable infrastructure,Electrical systems,,sensor data,['Fault prediction'],Physics based,['Thermal conductivity principles'],Yes: Physical model based on thermal conduction,2.0,2-s2.0-85204433229
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Big Data / Hadoop ecosystem,No,4.0,2-s2.0-85159650137
Industrial systems with IoT and AGV integration,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Deep learning,No,3.0,2-s2.0-85215601297
Space systems / Spacecraft instrumentation,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Rules and/or logic based,Parity space fault detection,Yes: Parity space method,2.0,2-s2.0-85189803296
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Correlation-metric-based adaptive target signal localization, feature extraction algorithms",Yes: correlation-metric-based adaptive strategy,3.0,2-s2.0-85186964383
Electrical power systems / Switchgear,Power systems,,"sensor data (spectral data, optical signals)",Fault prediction,Data driven,"Spectral analysis, optical fiber sensing",Yes: Spectral features and optical measurements are interpretable,3.0,2-s2.0-105001955256
"Oil and gas pipelines, industrial motors, aeroengines",Aicraft / Aviation / Aerospace,Oil and Gas,sensor data,Fault prediction,Physics based,Modal simulation analysis,Yes: Modal simulation analysis,2.0,2-s2.0-105001532066
Other,Other,,structured data,Fault prediction,Rules and/or logic based,Reconfigurable linear quadratic regulator,Yes: Rules and/or logic based,2.0,2-s2.0-85111780935
Other,Other,,sensor data,Fault prediction,Statistical methods / Theoretical modeling,Noncentral Wishart matrix trace-based statistics,Yes: statistical and mathematical formulas,3.0,2-s2.0-105005860705
Automated driving / Intelligent transportation systems,Transportation systems,,sensor data,Fault prediction,Knowledge based,Plausibility checking / plausibility analysis,Yes: Plausibility checking / plausibility analysis,2.0,2-s2.0-85143436147
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"CNN, BiLSTM, Fully connected neural network",No,2.0,2-s2.0-85210359340
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Physics based,"['Finite Element Method (FEM)', 'Equivalent Circuit Simulation']",Yes: Finite Element Method (FEM) and circuit simulations are interpretable and physics-based techniques,4.0,2-s2.0-105003876105
Industrial machinery,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"['LSTM', 'Feature squeeze excitation (FSE)', 'Fully connected networks (FCNs)', 'Softmax temporal permutation selecting (STPS)']",No,4.0,2-s2.0-85212551064
Electrical systems / Power infrastructure,Power systems,,sensor data,Fault prediction,Physics based,SPICE simulation,Yes: Rule-based and physics-based modeling,2.0,2-s2.0-105009283393
Industrial systems (specifically fault diagnosis in machinery with sensor data),Industrial systems,,sensor data,Fault prediction,Data driven,"Ensemble feature selection, mutual information, dilated convolution, hard voting",No,2.0,2-s2.0-85187338810
Industrial process systems (specifically cement rotary kiln process),Industrial systems,,sensor data,Fault prediction,Data driven,Interval-Valued PCA,"Yes: PCA and fault detection statistics (T2, Q, Φ)",2.0,2-s2.0-85211967229
Sensor systems,Sensor networks,,sensor data,Fault prediction,Rules and/or logic based,Variance estimation based on MINQUE,Yes: Variance estimation with MINQUE is interpretable,2.0,2-s2.0-85134225037
Gas sensing systems for power system monitoring,Power systems,,unstructured data,Fault prediction,Physics based,Density functional theory,Yes: Physical principles and first-principles calculations,2.0,2-s2.0-85135764926
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['CNN', 'LSTM', 'Fuzzy integral']",No,2.0,2-s2.0-85105891194
Industrial systems (specifically debris detection in mechanical systems),Industrial systems,,sensor data,Fault prediction,Physics based,Signal processing methods,Yes: Signal processing techniques,3.0,2-s2.0-85118644748
Ventilation systems,Other,,electrical signal data,Fault prediction,Physics based,Physics-based model,Yes: physics-based model,4.0,2-s2.0-85113252323
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"['Wavelet packet decomposition (WPD)', 'Kernelized support tensor train machine (KSTTM)', 'Salp swarm algorithm (SSA)']",No,3.0,2-s2.0-85170554410
Aerospace/Engine systems (turbofan engines),Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,"Data driven, Hybrid","Graph Attention Networks (GATs), Transformer",Yes: visualization of degradation features and sensor importance,4.0,2-s2.0-85174813927
Industrial Systems / Fault Diagnosis,Industrial systems,,sensor data,Fault prediction,Data driven,Modified Stochastic Configuration Network (SCN),No,3.0,2-s2.0-85117773812
Industrial systems involving rolling bearings,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"ResNet, CNN, Attention mechanism, CBAM",No,4.0,2-s2.0-85151517282
Heavy equipment gear transmission system,Other,,sensor data,Fault prediction,Physics based,Finite element model,"Yes: analytical mathematical model, finite element analysis",4.0,2-s2.0-85194083547
Power grid systems,Power systems,,"sensor data, time series",Fault prediction,Data driven,"Wavelet transform, Kernel density estimation",Yes: Statistical and wavelet-based methods,2.0,2-s2.0-85204439466
Pharmaceutical facilities,Pharmaceutical facilities,,sensor data,Fault prediction,Data driven,Clustering (DBSCAN),Yes: Clustering,4.0,2-s2.0-85151513108
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['Deep autoencoder', 'Bidirectional LSTM']",No,4.0,2-s2.0-85117330859
"Internet of Things (IoT), smart manufacturing",Manufacturing systems,,"sensor data, time series",Fault prediction,Data driven,Multi-sensor fusion,Yes: rule-based self-diagnosis and sensor reliability evaluation,3.0,2-s2.0-85112473974
Industrial soldering and manufacturing systems,Industrial systems,,sensor data,Weldability estimation,Data driven,Not explicitly specified (likely statistical or machine learning-based analysis of sensor data),No,2.0,2-s2.0-85174831408
Building integrated photovoltaic systems,Energy systems (not HVAC),solar,time series,Fault prediction,Data driven,"['Sample entropy (SE)', 'Gated recurrent unit (GRU)']",No,3.0,2-s2.0-85151489852
Smart farming / precision agriculture,Agriculture,,sensor data,Fault prediction,Data driven,"Support Vector Machine, Reinforcement Learning","Yes: Support Vector Machine (with hyperparameters tuning for interpretability), potentially reinforcement learning (less interpretable)",2.0,2-s2.0-85174814853
Oil refineries / Heat exchanger networks,Oil and gas industry,Oil and Gas,sensor data,Fouling prediction,Data driven,Not explicitly mentioned,Yes: Correlation analysis and soft sensor models,3.0,2-s2.0-85173343722
Industrial machinery / Pump systems,Industrial systems,,sensor data,['Remaining Useful Life'],Data driven,"['Kalman filter', 'BiLSTM']",No,3.0,2-s2.0-85128673476
Electric motor drives and power electronics,Power systems,,current features,Fault prediction,Data driven,Not explicitly specified in the abstract,No,3.0,2-s2.0-85123526733
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,"Fourier analysis, Lock-in demodulation",Yes: Fourier analysis,3.0,2-s2.0-85176365100
Other,Other,,"structured data, images, sensor data","Fault prediction, Root cause analysis",Data driven,Spiking Neural Networks (SNNs),Yes: Interpretable spiking neural network design,4.0,2-s2.0-85139501163
Mechanical systems / Industrial equipment,Industrial systems,,sensor data,Fault prediction,Data driven,GAN (Generative Adversarial Network),No,3.0,2-s2.0-85127458748
Other,Other,,sensor data,Other,Other,Other,No,0.0,2-s2.0-85149385589
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely sensor-based measurement models",No,2.0,2-s2.0-85114664769
Electrical power systems,Power systems,,sensor data,Fault prediction,Data driven,"SVM, PCA, ET","Yes: PCA, ET, SVM (via feature importance and decision boundaries)",3.0,2-s2.0-85103205790
Submarine cable monitoring,Other,,sensor data,Fault prediction,Data driven,Support Vector Machine (SVM),Yes: SVM,3.0,2-s2.0-85097403814
Transformers,Transformers,,sensor data,Fault prediction,Data driven,"['Sparse stacked denoising autoencoder (SSDA)', 'Quantum particle swarm optimization (QPSO)', 'Support Vector Machine (SVM)']",No,4.0,2-s2.0-85166748553
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Knowledge based,"Knowledge graph, Random forest",Yes: Knowledge graph,4.0,2-s2.0-85137917195
Industrial systems / Bearings in heavy machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Hybrid,"VMD, Deep Learning",No,2.0,2-s2.0-85105886258
Battery systems,Energy systems (not HVAC),Battery,"sensor data, time series",['Remaining Useful Life'],Data driven,['Bayesian updating'],Yes: Bayesian model calibration,4.0,2-s2.0-85174849032
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Neural networks,No,2.0,2-s2.0-85148288195
Aerospace,Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,Data driven,"Temporal Convolutional Neural Network (TCN), BiGRU, Attention mechanism, Variational Mode Decomposition (VMD)",No,4.0,2-s2.0-85139474378
Oil tank monitoring / Structural health monitoring in oil storage facilities,Structural health monitoring,Oil and Gas,sensor data,"Liquid-level estimation, Structural health monitoring",Data driven,Random Forest,Yes: Random Forest,3.0,2-s2.0-85153350565
Aerospace,Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,Data driven,"Convolutional neural network (CNN), Graph attention network (GAT)",No,2.0,2-s2.0-85162688641
High-voltage power supply systems of spacecraft,Power systems,,optical sensor data,Fault prediction,Data driven,Simulation modeling,No,2.0,2-s2.0-85198267197
Mechanical equipment / Oil lubrication systems,Mechanical systems,,sensor data,Fault prediction,Data driven,"Simulation analysis, Experimental validation",No,1.0,2-s2.0-85168275096
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,"['Convolutional neural networks (CNN)', 'Ensemble deep learning models']",No,3.0,2-s2.0-85159812391
Electromechanical systems,Other,,sensor data,Fault prediction,Data driven,"CNN, JMMD",No,4.0,2-s2.0-85128602353
Industrial machinery,Industrial systems,,sensor data / time series,Fault prediction,Data driven,"['GAN', 'ResNet18', 'Continuous wavelet transform']",No,3.0,2-s2.0-85139837104
Industrial systems / Mechanical equipment monitoring,Industrial systems,,sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely sensor-based detection methods",Yes: Interpretable sensor detection,4.0,2-s2.0-85128622068
Industrial equipment / Bearings / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Remaining Useful Life,Data driven,"2D Long Short-Term Memory (2D-LSTM), Feature fusion network",No,4.0,2-s2.0-85139433452
Other,Other,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85118605690
Industrial systems (specifically induction motor systems / electrical machinery),Industrial systems,,"sensor data, time series, frequency domain data","Fault prediction, Severity estimation",Data driven,"Signal processing techniques, Frequency analysis (e.g., Fourier spectrum)",Yes: Signal processing and frequency domain features,4.0,2-s2.0-85104652823
Lunar exploration / planetary radar systems,Other,,sensor data,Diffraction separation / Signal processing for underground structure detection,Rules and/or logic based,Plane wave decomposition filter,Yes: rule-based filtering,1.0,2-s2.0-85113215091
"Industrial systems (e.g., turbofan engines, machinery, equipment)",Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Graph Neural Networks (GNN), Hypergraph Neural Network",No,4.0,2-s2.0-85122057537
Electrical machines / Induction motors,Electrical systems,,sensor data,Fault prediction,Data driven,Signal processing / Temperature measurement analysis,Yes: Temperature mapping and signal processing techniques,3.0,2-s2.0-85110849834
Fiber optic sensing systems for fault diagnosis and external parameter detection,Other,,unstructured data,"Fault prediction, Root cause analysis",Data driven,"Correlation analysis, signal processing",Yes: correlation analysis and signal processing techniques,2.0,2-s2.0-85205466344
Blast furnace ironmaking process,other,,structured data,Fault prediction,Data driven,Graph Convolutional Network (GCN),No,3.0,2-s2.0-85176374716
Gas turbines / Industrial gas turbines,Industrial systems,,"sensor data, time series","Fault prediction, Sensor fault diagnosis",Hybrid,"Sliding mode observer, Decision tree, N4SID (Subspace algorithm, State-space modeling)",Yes: Decision tree,4.0,2-s2.0-85107372221
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Domain adversarial training, Structured prediction pseudolabeling, Local preserving projection (LPP)","Yes: structured prediction pseudolabeling, Local preserving projection (LPP)",4.0,2-s2.0-85197643884
Railway track geometry inspection,Transportation systems,trains,sensor data,"State estimation, Unknown parameter estimation",Data driven,"Kalman filtering, MVUE (Minimum Variance Unbiased Estimator)",Yes: Kalman filtering and MVUE are interpretable techniques,1.0,2-s2.0-85137609968
"Industrial systems in oil and gas processing (fluid handling, water injection pumps)",Industrial systems,Oil and Gas,sensor data,Sensor measurements validation,Data driven,Radial Basis Function (RBF) Neural Networks,No,2.0,2-s2.0-85111060509
Mechanical systems,Mechanical systems,,sensor data,Rotation speed measurement,Physics based,Finite-element simulation,Yes: physics-based analysis,1.0,2-s2.0-85148463204
Industrial robots / Mechanical systems,Robotics,robots,sensor data,Fault prediction,Data driven,"['CNN', 'LSTM', 'Wavelet denoising']",No,2.0,2-s2.0-85122060843
Autonomous vehicles,Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,"Adversarial learned denoising shrinkage autoencoder (ALDSAE), Residual explainer, Shapley additive explanation (SHAP)","Yes: Residual explainer, SHAP",2.0,2-s2.0-85147308068
